Sample,Antigen,IgG1,IgG1f,IgG3,IgG3f
1_1,N,144.08111961945556,311.6812117468855,13872.692546806418,123325.81321195826
1_1,RBD,43.56750632861923,63.49857198270531,10933.219000762298,119121.08874152784
1_1,S,128.54968953997815,265.7562373655285,10107.629906206279,128490.08946815871
1_1,S1,26.01017809860395,27.905216000500907,11186.492319098363,94893.77779212905
1_1,S1 Trimer,0.9090499291320521,0.8892771619331653,9529.371648073895,88727.70837379502
1_1,S2,554.1456461262824,960.355484524164,203439.4823635016,1089688.008563858
1_10,N,566.7184315082203,563.9861491058692,9684183.636157718,24567424.01888744
1_10,RBD,3034.163154236218,3510.370522640109,3648784.7083357335,7333450.105751084
1_10,S,4003.67205646339,4166.572705066426,8883566.19808099,10094056.543482581
1_10,S1,2049.0611582236183,2521.9291895694055,2862802.869035641,7451274.059724022
1_10,S1 Trimer,207.00637695612883,1761.721990412936,24724.169327556545,544438.842683625
1_10,S2,13222.67435652151,13849.113645226871,12241695.71477943,13620287.264363613
1_11,N,637.0707523744968,632.7840196860309,9277590.986991987,21391162.243585892
1_11,RBD,4445.542038607741,4534.645813482203,10621272.497644119,18263606.85947168
1_11,S,5616.965989473787,5794.5466798918915,12380962.062790899,19065843.367749337
1_11,S1,3412.447436083449,3451.3323214635125,11853236.533586077,19000777.177244417
1_11,S1 Trimer,1363.0446766437947,1380.637801960595,6108316.466726402,14542980.655233284
1_11,S2,15452.518279982623,15902.579284259282,15931702.16386684,21299893.091840107
1_12,N,1060.7975217683459,1096.7261936292707,10095132.485621782,19867605.803225692
1_12,RBD,7634.288201539004,8252.702210786732,8953307.005711397,16022820.74816697
1_12,S,10043.630870147994,10445.761777266434,11826148.602629945,17337530.85905522
1_12,S1,6716.545306751025,7240.529189544161,10048852.574420258,16913764.684821084
1_12,S1 Trimer,2542.77128546188,2879.0222391279863,4245317.972730013,12512331.3329972
1_12,S2,30525.840976875767,9800.726635096837,17221272.910078473,20729130.678602148
1_13,N,213.02727956184094,438.39689928880244,544613.6280951363,8960715.805630097
1_13,RBD,1737.5059345592847,3721.6880570165467,1333935.0488621732,7706833.07996938
1_13,S,22.68099096716925,16615624.380012695,166662.71690503426,747402.9179604638
1_13,S1,1850.3477011043808,19796598.284943104,618109.430486117,623.582259466021
1_13,S1 Trimer,50.94650180653288,1671182.7129900185,23658.47990709128,94455.00967712585
1_13,S2,7398.777902406704,7593.455625264908,9743547.231958015,18041678.520714138
1_14,N,533.520057754191,526.4734268859057,5239572.834518319,11357169.457824232
1_14,RBD,3662.731848275036,4569.580367848905,3310693.2651848323,8919401.032128839
1_14,S,4731.267630203598,6110.470758904506,3806418.4481972624,10638589.544889463
1_14,S1,3699.9099674615195,4056.7104869238065,5547842.230892258,9338677.596985474
1_14,S1 Trimer,146.47213760881667,2180.5194024616712,24983.86150518058,682533.2667985364
1_14,S2,11457.232281689043,11425.852757422464,11940711.502909778,18363032.522903748
1_15,N,482.7536549492,498.123263323891,7109047.374418683,13181175.289207865
1_15,RBD,3425.832985334093,3574.1961209019014,6077571.652350977,11739760.397168124
1_15,S,4336.821427955671,4458.617122599006,7518292.420288509,12881997.231762195
1_15,S1,3356.2049810014887,3415.256054756425,9523167.165062359,12195944.495659487
1_15,S1 Trimer,793.9288770120743,1285.6864631306448,1037747.9822584618,5375187.43142366
1_15,S2,8825.385188691911,9175.916343623061,12501513.108005337,19536249.53461666
1_16,N,273.4064386735778,562.3956262014586,32072.848435110172,7159354.770482392
1_16,RBD,210.21971984220764,1745772.061555155,13875.101147130641,91695.859313642
1_16,S,210.60755751285706,1537845.2663256314,13296.688245040721,11983.226145228853
1_16,S1,166.87885470111817,1233576.1993031155,19367.66044216416,84324.54109538558
1_16,S1 Trimer,214.75322343961312,449030.28179695364,16215.234981854805,21656.16019850637
1_16,S2,18780.66456272838,2376999.4643129585,45138.28061122397,124928.99034212758
1_17,N,1.6864157432312452,1.6623329498013961,17219.074207501046,842168.8980658366
1_17,RBD,1.069470355206115,1.0457143613860929,11423.185350461676,100817.17506228168
1_17,S,1.5404408324421879,1.5521391064513006,9942.741511868326,48555.59676434605
1_17,S1,1.906176615669214,1.8439852012921443,16543.94441841346,68538.31754033024
1_17,S1 Trimer,1.351745609305809,1.3697371939776664,16092.302285345488,92117.45671469046
1_17,S2,3.0300629724391466,2.9590650688579765,35845.29461428379,212989.27637298816
1_18,N,4.812535442872573,4.839941084031236,1459064.1632927577,9265280.829320293
1_18,RBD,12.260900476799902,12.710399744083286,7495493.73264881,16325161.176281245
1_18,S,3.4202534852335473,3.399234160301444,8244204.555680574,19694237.90101411
1_18,S1,6.497236207620138,6.386036408534383,6638692.180095922,15336741.47273276
1_18,S1 Trimer,2.0631290465165333,1.9887626303920949,2465119.876453306,11800197.346675692
1_18,S2,11.138195416895114,10.683814131190786,16226346.385408146,32497453.93396359
1_19,N,9.282218378892287,8.888635044615272,3393803.414440072,11660503.584265305
1_19,RBD,7.9387653601289205,7.935226060092534,10643745.094750091,19048210.44608265
1_19,S,3.9540276386511595,3.9502886509138047,11743127.230299983,22144508.672862377
1_19,S1,3.6657782613972376,3.6528270684493553,9843846.481581425,18548508.061348617
1_19,S1 Trimer,2.2952794974800113,2.2647611962047365,6428107.993863699,14368203.403368603
1_19,S2,107.29767834122065,105.52196176088007,18892692.16396078,33148371.720884472
1_2,N,173.57469035229462,336.26069781931295,17846.40771508614,543029.946851984
1_2,RBD,37.9213967492363,41.065547837054524,19328.665751783654,281436.7212854498
1_2,S,102.0399045018378,333.9872247719313,67118.29577909196,2339425.363784616
1_2,S1,15.954713955855404,16.33345992561888,20034.59834099241,203164.53663952203
1_2,S1 Trimer,1.7850903442504222,1.727164444754106,11442.483800756703,70671.80070047823
1_2,S2,697.4247285166056,702.4779492573545,6916364.666657417,9727743.87938594
1_20,N,6.2207481003417096,6.132343983776317,3365173.4174725804,12400155.610453805
1_20,RBD,5.301690758995901,5.545257702130495,11041672.038442856,19914844.195783798
1_20,S,23.46477594600905,24.27704806187551,11765630.892399866,22905239.13256242
1_20,S1,3.1653748130280634,3.1610024411443884,10238598.562196082,20129626.622804333
1_20,S1 Trimer,2.16534490292189,2.1554253688044622,6379385.020806349,14809220.866760531
1_20,S2,60.004414245153164,57.66094863571034,18494519.84830717,33975731.51472466
1_21,N,5.011264428204887,4.792881650269634,4171594.093388039,12603177.266338477
1_21,RBD,3.683774132391891,3.830093901587241,11575247.324536568,19452161.564882305
1_21,S,10.359666924886517,10.72524709677436,12459898.515148513,21965210.54339
1_21,S1,2.1660074447576494,2.202934364132913,10855791.177560413,19671591.073193707
1_21,S1 Trimer,2.2745278293367903,2.3041685804610528,7219884.120233121,14368267.367480358
1_21,S2,159.4556571136635,160.37668612985155,18771953.432208538,30081193.748304248
1_22,N,714.8873439704643,756.168187806675,2472058.3019622657,12037120.79202782
1_22,RBD,7981.20203870448,5772.174118336591,9793422.62784387,19110104.694112506
1_22,S,16958.850438275567,32268.522016582283,9968786.627658747,21111602.21235909
1_22,S1,10078.56560697255,10832.658648369661,9374387.64882482,19169221.499209743
1_22,S1 Trimer,2278.7362667402435,2546.378235337055,4921873.948616764,14074132.865385933
1_22,S2,144088.25888992788,190348.45049241706,16317823.636722628,30087754.23729801
1_23,N,603.0744940646559,677.8408179039718,1501091.476728988,10109090.77309151
1_23,RBD,6453.628027186243,6646.792559432615,8587510.760303264,17596156.710869916
1_23,S,21695.101011109786,18718.473791841345,8212610.661715169,18954396.62391924
1_23,S1,9006.41806389762,9387.112237173502,8287869.870624037,17469051.42798738
1_23,S1 Trimer,1852.3228826521274,2094.13753729265,3382971.3200916364,13117643.28953181
1_23,S2,124969.10520139015,159211.71338420882,13291884.496568877,27361359.950289838
1_24,N,906.2012150768838,1039.5287385926142,1833032.5679252923,10937343.935350368
1_24,RBD,10703.814234823229,11522.822240222898,9053032.89699523,17314150.518578205
1_24,S,24751.592619131337,31039.156960711407,8985431.965752045,18779511.02784763
1_24,S1,14635.491268274893,17355.231388206936,8826593.092183923,17370515.648835484
1_24,S1 Trimer,3349.446019374967,3851.8656003350825,4223915.73996716,12812972.512169452
1_24,S2,163553.69361344445,192319.93029434554,14506193.8689538,26942524.31719758
1_25,N,2.550235067140893,2.6648345422274455,15405.270487411652,310793.28984335857
1_25,RBD,1.6381794807788286,1.7246102699806456,14825.882410398235,125875.8378612243
1_25,S,1.5945437518154901,1.6325458893757459,10372.174962707933,112394.40918572132
1_25,S1,1.9535458193074127,2.037819497876702,19750.005445742892,80356.97607036753
1_25,S1 Trimer,1.2980299294977566,1.3672478048186456,18649.827018115393,101052.61351806861
1_25,S2,26.86621457261032,27.639771778220204,27732.049125850914,242757.1404266365
1_27,N,151.60216841425887,459.9280080359667,22833.109667958208,327930.4470764742
1_27,RBD,151.07776874490423,369.2085822948103,24557.084120987023,248322.87896127952
1_27,S,189.9746656874139,1406.3948111322866,17729.942963448408,81430.79834704875
1_27,S1,180.2162816527184,721.6341029934471,19024.3811440254,78989.42377674197
1_27,S1 Trimer,50.822002867637316,61.66024263995439,21373.49880082173,91068.09865377333
1_27,S2,1014.1296843165165,5215.454329948151,86853.42951758509,1969084.5019744267
1_28,N,178.02858596082203,4182.783870397385,18052.26476759913,250113.61115685862
1_28,RBD,390.04628694033494,8761.350046738187,16748.075066699075,69370.22813833454
1_28,S,108.94910868660646,9500.430214209538,12770.426034534876,123085.34642076484
1_28,S1,186.41202131834288,10633.4484712768,22995.842931064566,86850.45072555813
1_28,S1 Trimer,238.8868536760135,2314.106337087333,15477.591589073549,132488.50768382638
1_28,S2,2394.9639749555427,23986.80732792643,113716.79463376576,1077921.0296577534
1_29,N,12.330993771330574,2637.807563637992,18885.148094603093,117195.97545342338
1_29,RBD,53.88155966697736,4543.9853689902875,23051.72363020651,151640.02063561103
1_29,S,49.02940440321831,6576.345784539573,32635.523530794308,418806.8605056863
1_29,S1,215.89356080750724,6150.994642926303,21101.278416775807,115563.12212813683
1_29,S1 Trimer,133.61724783325138,1099.5146851193335,17558.447982807906,104870.48048981842
