,Method,r2,r,Ligand,Missingness,ds_size
0,impute_missing_ms,0.4779827498107614,0.8962347668995111,FcR2A,0.5,0.1
1,impute_missing_ms,0.4537066055608203,0.8913936840658064,FcR2A,0.5,0.1
2,impute_missing_ms,0.4517417683091659,0.9306942096689148,FcR2B,0.5,0.1
3,impute_missing_ms,0.45469947521006815,0.9297423006357929,FcR2B,0.5,0.1
4,impute_missing_ms,0.6511422517647028,0.8532819144498512,FcR3A,0.5,0.1
5,impute_missing_ms,0.6215636026759527,0.858126292682517,FcR3A,0.5,0.1
6,impute_missing_ms,0.7235304836864415,0.942626256837236,FcR3B,0.5,0.1
7,impute_missing_ms,0.7223290939220521,0.9285802904956798,FcR3B,0.5,0.1
8,impute_missing_ms,0.5278995454922835,0.9097521725287983,FcR2A,0.5,0.2
9,impute_missing_ms,0.5173297656951188,0.916726652542885,FcR2A,0.5,0.2
10,impute_missing_ms,0.5938933118856508,0.9399948717193432,FcR2B,0.5,0.2
11,impute_missing_ms,0.6011071390002236,0.9375965136224943,FcR2B,0.5,0.2
12,impute_missing_ms,0.7271170896063535,0.9227547022044154,FcR3A,0.5,0.2
13,impute_missing_ms,0.7214087249509025,0.9149193909500046,FcR3A,0.5,0.2
14,impute_missing_ms,0.7197124010339547,0.9421088434334851,FcR3B,0.5,0.2
15,impute_missing_ms,0.68011562236034,0.9437557345017916,FcR3B,0.5,0.2
16,impute_missing_ms,0.5572753161479784,0.9216210693124729,FcR2A,0.5,0.30000000000000004
17,impute_missing_ms,0.5857094722521428,0.9144252562214966,FcR2A,0.5,0.30000000000000004
18,impute_missing_ms,0.5282290342124616,0.92517136637355,FcR2B,0.5,0.30000000000000004
19,impute_missing_ms,0.5993562627115363,0.9316208780332493,FcR2B,0.5,0.30000000000000004
20,impute_missing_ms,0.6894205548139867,0.9022589518791311,FcR3A,0.5,0.30000000000000004
21,impute_missing_ms,0.683683893155409,0.9274157626377991,FcR3A,0.5,0.30000000000000004
22,impute_missing_ms,0.7086574250181867,0.9471974065277502,FcR3B,0.5,0.30000000000000004
