,Method,r2,r,Ligand,Missingness,ds_size
23,impute_missing_ms,0.7010013422720753,0.9420707009587866,FcR3B,0.5,0.30000000000000004
24,impute_missing_ms,0.4587891762178483,0.9105605020067089,FcR2A,0.5,0.4
25,impute_missing_ms,0.5271918755233731,0.9158935575321652,FcR2A,0.5,0.4
26,impute_missing_ms,0.49186203375726134,0.9159276612042787,FcR2B,0.5,0.4
27,impute_missing_ms,0.457958329981796,0.9244915070828182,FcR2B,0.5,0.4
28,impute_missing_ms,0.6812613956499323,0.9003663903612025,FcR3A,0.5,0.4
29,impute_missing_ms,0.6418216547781097,0.875156941752482,FcR3A,0.5,0.4
30,impute_missing_ms,0.7140872679952104,0.9427185764973318,FcR3B,0.5,0.4
31,impute_missing_ms,0.6948916423770963,0.9408249212655289,FcR3B,0.5,0.4
32,impute_missing_ms,0.5544627415486938,0.9171687634981427,FcR2A,0.5,0.5
33,impute_missing_ms,0.5715323708103608,0.9220939114637905,FcR2A,0.5,0.5
34,impute_missing_ms,0.49149287605535963,0.9307569655001349,FcR2B,0.5,0.5
35,impute_missing_ms,0.5072491740635587,0.9282897445804026,FcR2B,0.5,0.5
36,impute_missing_ms,0.7076536151710735,0.9150691358378492,FcR3A,0.5,0.5
37,impute_missing_ms,0.6690488509778132,0.8907058615090478,FcR3A,0.5,0.5
38,impute_missing_ms,0.7045876222650842,0.9496643887754518,FcR3B,0.5,0.5
39,impute_missing_ms,0.7164386296445262,0.9475593663678931,FcR3B,0.5,0.5
40,impute_missing_ms,0.5526535367315897,0.917657761245236,FcR2A,0.5,0.6
41,impute_missing_ms,0.528539328661076,0.922426695211282,FcR2A,0.5,0.6
42,impute_missing_ms,0.5228923453605935,0.9216718519631907,FcR2B,0.5,0.6
43,impute_missing_ms,0.5581681880112284,0.9258113062088899,FcR2B,0.5,0.6
44,impute_missing_ms,0.6607443059106684,0.8817978750002671,FcR3A,0.5,0.6
45,impute_missing_ms,0.682758665272416,0.8932711378530035,FcR3A,0.5,0.6
46,impute_missing_ms,0.728669469487037,0.9501223915824135,FcR3B,0.5,0.6
47,impute_missing_ms,0.7025520164560749,0.9417565352653116,FcR3B,0.5,0.6
48,impute_missing_ms,0.5583189114146616,0.923103241194303,FcR2A,0.5,0.7000000000000001
49,impute_missing_ms,0.5339411004046335,0.9188533718035021,FcR2A,0.5,0.7000000000000001
50,impute_missing_ms,0.5154588737039558,0.921603001367051,FcR2B,0.5,0.7000000000000001
51,impute_missing_ms,0.5491615153493076,0.9258769157269754,FcR2B,0.5,0.7000000000000001
52,impute_missing_ms,0.6580058138725979,0.9013455341424818,FcR3A,0.5,0.7000000000000001
53,impute_missing_ms,0.6866534964904307,0.9020294036557485,FcR3A,0.5,0.7000000000000001
54,impute_missing_ms,0.7143636033184002,0.9454920852069033,FcR3B,0.5,0.7000000000000001
55,impute_missing_ms,0.6873143046104646,0.9419172677201474,FcR3B,0.5,0.7000000000000001
56,impute_missing_ms,0.5618138140936018,0.9167662879368392,FcR2A,0.5,0.8
57,impute_missing_ms,0.6102145624399335,0.92775281838286,FcR2A,0.5,0.8
58,impute_missing_ms,0.5525787848382739,0.9281850177896697,FcR2B,0.5,0.8
59,impute_missing_ms,0.5414849319493669,0.926866787443572,FcR2B,0.5,0.8
60,impute_missing_ms,0.6765574521203168,0.8985317163691714,FcR3A,0.5,0.8
61,impute_missing_ms,0.6770411238491254,0.9006134092938376,FcR3A,0.5,0.8
62,impute_missing_ms,0.7094290397435974,0.9499425691362471,FcR3B,0.5,0.8
63,impute_missing_ms,0.7222830973935661,0.9562710611055522,FcR3B,0.5,0.8
64,impute_missing_ms,0.5811024533981535,0.9274513289594251,FcR2A,0.5,0.9
65,impute_missing_ms,0.5741528191157212,0.9238238312833834,FcR2A,0.5,0.9
66,impute_missing_ms,0.5473699048405217,0.9281807799713618,FcR2B,0.5,0.9
67,impute_missing_ms,0.5463244338150725,0.9279286604060676,FcR2B,0.5,0.9
68,impute_missing_ms,0.6843602395057199,0.9084694032743531,FcR3A,0.5,0.9
69,impute_missing_ms,0.7031295590547941,0.9165331527566909,FcR3A,0.5,0.9
70,impute_missing_ms,0.7212472479760617,0.9491937728781866,FcR3B,0.5,0.9
71,impute_missing_ms,0.7227247234610875,0.9484860978320062,FcR3B,0.5,0.9
72,impute_missing_ms,0.5872272792248742,0.9278880743643135,FcR2A,0.5,1.0
73,impute_missing_ms,0.5794155488414706,0.9235977767341536,FcR2A,0.5,1.0
74,impute_missing_ms,0.5421557669955369,0.9278594882413846,FcR2B,0.5,1.0
75,impute_missing_ms,0.5064112164213137,0.9268212565706031,FcR2B,0.5,1.0
76,impute_missing_ms,0.6774434146605013,0.8946012567508541,FcR3A,0.5,1.0
77,impute_missing_ms,0.6952782731459392,0.8945858281296067,FcR3A,0.5,1.0
78,impute_missing_ms,0.7469512534721541,0.9538995940242438,FcR3B,0.5,1.0
79,impute_missing_ms,0.7261994132983942,0.9472918107899748,FcR3B,0.5,1.0
