,comb,lig,metric,val
0,"('FcR2A', 'FcR2B')",0,r,0.729739181209029
1,"('FcR2A', 'FcR2B')",0,r2,-5.537839306664478
2,"('FcR2A', 'FcR2B')",1,r,0.7533051895446683
3,"('FcR2A', 'FcR2B')",1,r2,-4.942604439061361
4,"('FcR2A', 'FcR2B')",0,r,0.6893361405636744
5,"('FcR2A', 'FcR2B')",0,r2,-16.813642732964517
6,"('FcR2A', 'FcR2B')",1,r,0.6028881516767125
7,"('FcR2A', 'FcR2B')",1,r2,-18.454012162878833
8,"('FcR2A', 'FcR2B')",0,r,0.6559707874534173
9,"('FcR2A', 'FcR2B')",0,r2,-16.81891268776662
10,"('FcR2A', 'FcR2B')",1,r,0.5655969227058697
11,"('FcR2A', 'FcR2B')",1,r2,-18.48194466174103
12,"('FcR2A', 'FcR3A')",0,r,0.9423314041569861
13,"('FcR2A', 'FcR3A')",0,r2,0.2717802602745726
14,"('FcR2A', 'FcR3A')",1,r,0.9329171086888014
15,"('FcR2A', 'FcR3A')",1,r2,0.5462731089096544
16,"('FcR2A', 'FcR3A')",0,r,0.9426536779654794
17,"('FcR2A', 'FcR3A')",0,r2,0.277111443057946
18,"('FcR2A', 'FcR3A')",1,r,0.9333122474941075
19,"('FcR2A', 'FcR3A')",1,r2,0.5488922216214219
20,"('FcR2A', 'FcR3A')",0,r,0.9422239404382353
21,"('FcR2A', 'FcR3A')",0,r2,0.26935165859271426
22,"('FcR2A', 'FcR3A')",1,r,0.9338448353819199
23,"('FcR2A', 'FcR3A')",1,r2,0.5498196855900535
24,"('FcR2A', 'FcR3B')",0,r,0.9432333330158607
25,"('FcR2A', 'FcR3B')",0,r2,0.27397848391837065
26,"('FcR2A', 'FcR3B')",1,r,0.9428771129558899
27,"('FcR2A', 'FcR3B')",1,r2,0.5160135803964816
28,"('FcR2A', 'FcR3B')",0,r,0.9438541707536443
29,"('FcR2A', 'FcR3B')",0,r2,0.26519603881396314
30,"('FcR2A', 'FcR3B')",1,r,0.9433878281097166
31,"('FcR2A', 'FcR3B')",1,r2,0.516142660823047
32,"('FcR2A', 'FcR3B')",0,r,0.9426465645490878
33,"('FcR2A', 'FcR3B')",0,r2,0.25916050079840147
34,"('FcR2A', 'FcR3B')",1,r,0.9429841793001719
35,"('FcR2A', 'FcR3B')",1,r2,0.513994967285923
36,"('FcR2B', 'FcR3A')",0,r,0.9405035756338498
37,"('FcR2B', 'FcR3A')",0,r2,0.20469929452886804
38,"('FcR2B', 'FcR3A')",1,r,0.9374579555849949
39,"('FcR2B', 'FcR3A')",1,r2,0.5639123183261844
40,"('FcR2B', 'FcR3A')",0,r,0.9403024653537915
41,"('FcR2B', 'FcR3A')",0,r2,0.2050206592444206
42,"('FcR2B', 'FcR3A')",1,r,0.9376311524202283
43,"('FcR2B', 'FcR3A')",1,r2,0.565269987503098
44,"('FcR2B', 'FcR3A')",0,r,0.9399339919977325
45,"('FcR2B', 'FcR3A')",0,r2,0.20451844895740523
46,"('FcR2B', 'FcR3A')",1,r,0.9376298485909076
47,"('FcR2B', 'FcR3A')",1,r2,0.5654034244460511
48,"('FcR2B', 'FcR3B')",0,r,0.9312283220988571
49,"('FcR2B', 'FcR3B')",0,r2,0.14451303017245898
50,"('FcR2B', 'FcR3B')",1,r,0.9587832240680214
51,"('FcR2B', 'FcR3B')",1,r2,0.5424511352221658
52,"('FcR2B', 'FcR3B')",0,r,0.9340928280354495
53,"('FcR2B', 'FcR3B')",0,r2,0.1755233215587525
54,"('FcR2B', 'FcR3B')",1,r,0.960344819288549
55,"('FcR2B', 'FcR3B')",1,r2,0.5508115120412137
56,"('FcR2B', 'FcR3B')",0,r,0.9317623604151068
57,"('FcR2B', 'FcR3B')",0,r2,0.14929285990294272
58,"('FcR2B', 'FcR3B')",1,r,0.9582856624349304
59,"('FcR2B', 'FcR3B')",1,r2,0.5403960843573139
60,"('FcR3A', 'FcR3B')",0,r,0.5582159665795694
61,"('FcR3A', 'FcR3B')",0,r2,0.07434910856743726
62,"('FcR3A', 'FcR3B')",1,r,0.6395231378759394
63,"('FcR3A', 'FcR3B')",1,r2,0.16877988142636602
64,"('FcR3A', 'FcR3B')",0,r,0.7614550082995768
65,"('FcR3A', 'FcR3B')",0,r2,0.25396562316251126
66,"('FcR3A', 'FcR3B')",1,r,0.8277486722852556
67,"('FcR3A', 'FcR3B')",1,r2,0.6528917436188697
68,"('FcR3A', 'FcR3B')",0,r,0.7524417447521652
69,"('FcR3A', 'FcR3B')",0,r2,0.2540010171863625
70,"('FcR3A', 'FcR3B')",1,r,0.8172690513647713
71,"('FcR3A', 'FcR3B')",1,r2,0.6314897184839868
