,comb,lig,metric,val
0,"('FcR2A', 'FcR2B')",0,r,0.8159224233715576
1,"('FcR2A', 'FcR2B')",0,r2,-4.528622905091052
2,"('FcR2A', 'FcR2B')",1,r,0.8159781478428023
3,"('FcR2A', 'FcR2B')",1,r2,-4.370940914047783
4,"('FcR2A', 'FcR2B')",0,r,0.820642286970333
5,"('FcR2A', 'FcR2B')",0,r2,-5.188934411819118
6,"('FcR2A', 'FcR2B')",1,r,0.8099942691224178
7,"('FcR2A', 'FcR2B')",1,r2,-4.831181752075057
8,"('FcR2A', 'FcR2B')",0,r,0.8255473245824501
9,"('FcR2A', 'FcR2B')",0,r2,-9.567080633964403
10,"('FcR2A', 'FcR2B')",1,r,0.7976040024907098
11,"('FcR2A', 'FcR2B')",1,r2,-10.330533799622575
12,"('FcR2A', 'FcR3A')",0,r,0.9081875747480481
13,"('FcR2A', 'FcR3A')",0,r2,0.42955796686947856
14,"('FcR2A', 'FcR3A')",1,r,0.8888797270979231
15,"('FcR2A', 'FcR3A')",1,r2,0.6476946938164024
16,"('FcR2A', 'FcR3A')",0,r,0.9128806857266015
17,"('FcR2A', 'FcR3A')",0,r2,0.4592492223700383
18,"('FcR2A', 'FcR3A')",1,r,0.8905121887424254
19,"('FcR2A', 'FcR3A')",1,r2,0.6541809962705047
20,"('FcR2A', 'FcR3A')",0,r,0.9103590078202208
21,"('FcR2A', 'FcR3A')",0,r2,0.444762062255719
22,"('FcR2A', 'FcR3A')",1,r,0.890303043733323
23,"('FcR2A', 'FcR3A')",1,r2,0.6521146763715496
24,"('FcR2A', 'FcR3B')",0,r,0.9114270116069878
25,"('FcR2A', 'FcR3B')",0,r2,0.44135835370428056
26,"('FcR2A', 'FcR3B')",1,r,0.9309929585016603
27,"('FcR2A', 'FcR3B')",1,r2,0.6665534523957914
28,"('FcR2A', 'FcR3B')",0,r,0.9120063823127049
29,"('FcR2A', 'FcR3B')",0,r2,0.44385591921715994
30,"('FcR2A', 'FcR3B')",1,r,0.9301850149337212
31,"('FcR2A', 'FcR3B')",1,r2,0.6639765907308619
32,"('FcR2A', 'FcR3B')",0,r,0.9128498033515184
33,"('FcR2A', 'FcR3B')",0,r2,0.449357366766979
34,"('FcR2A', 'FcR3B')",1,r,0.9305772194719117
35,"('FcR2A', 'FcR3B')",1,r2,0.6664841350615703
36,"('FcR2B', 'FcR3A')",0,r,0.934277136468018
37,"('FcR2B', 'FcR3A')",0,r2,0.4612694062944027
38,"('FcR2B', 'FcR3A')",1,r,0.8969921296045379
39,"('FcR2B', 'FcR3A')",1,r2,0.691669335498039
40,"('FcR2B', 'FcR3A')",0,r,0.937716442493379
41,"('FcR2B', 'FcR3A')",0,r2,0.46013718052797825
42,"('FcR2B', 'FcR3A')",1,r,0.8982827731427611
43,"('FcR2B', 'FcR3A')",1,r2,0.692635060021653
44,"('FcR2B', 'FcR3A')",0,r,0.9346357494311177
45,"('FcR2B', 'FcR3A')",0,r2,0.4646809669883054
46,"('FcR2B', 'FcR3A')",1,r,0.8972168894786039
47,"('FcR2B', 'FcR3A')",1,r2,0.6912870591697542
48,"('FcR2B', 'FcR3B')",0,r,0.924210555262237
49,"('FcR2B', 'FcR3B')",0,r2,0.4150297258489587
50,"('FcR2B', 'FcR3B')",1,r,0.9462220262962561
51,"('FcR2B', 'FcR3B')",1,r2,0.7105131153606434
52,"('FcR2B', 'FcR3B')",0,r,0.9235938428073109
53,"('FcR2B', 'FcR3B')",0,r2,0.40751687000912984
54,"('FcR2B', 'FcR3B')",1,r,0.9460749799194854
55,"('FcR2B', 'FcR3B')",1,r2,0.7095757135163224
56,"('FcR2B', 'FcR3B')",0,r,0.924090752355428
57,"('FcR2B', 'FcR3B')",0,r2,0.41301959097072183
58,"('FcR2B', 'FcR3B')",1,r,0.9462475552229954
59,"('FcR2B', 'FcR3B')",1,r2,0.7100880647082521
60,"('FcR3A', 'FcR3B')",0,r,0.7488043813461007
61,"('FcR3A', 'FcR3B')",0,r2,0.393365519351517
62,"('FcR3A', 'FcR3B')",1,r,0.8157749228438326
63,"('FcR3A', 'FcR3B')",1,r2,0.6469383979271739
64,"('FcR3A', 'FcR3B')",0,r,0.7772808884963824
65,"('FcR3A', 'FcR3B')",0,r2,0.38242341037357663
66,"('FcR3A', 'FcR3B')",1,r,0.8403871523556543
67,"('FcR3A', 'FcR3B')",1,r2,0.6856831838824562
68,"('FcR3A', 'FcR3B')",0,r,0.7721377311648532
69,"('FcR3A', 'FcR3B')",0,r2,0.4046651244014009
70,"('FcR3A', 'FcR3B')",1,r,0.8349031210443077
71,"('FcR3A', 'FcR3B')",1,r2,0.6803276472543551
