,Sample,Antigen,IgG1,IgG1f,IgG3,IgG3f
0,1_1,N,140.29323299323013,191.82948554560096,100410.81875962668,780800.3086435167
1,1_1,RBD,42.81605335785473,46.91451456859975,117839.35461245678,788367.2406823393
2,1_1,S,127.05493852856287,169.54670275482061,111539.08467750037,771524.6424342223
3,1_1,S1,24.618789662651174,25.779248827970303,108382.0667399139,734452.4555738356
4,1_1,S1 Trimer,8.25683321672509,8.348578392834401,127395.24570754806,823454.9408217034
5,1_1,S2,392.1810048200714,672.6029363839252,442051.44888876466,2159279.948568066
6,1_10,N,398.04403200154815,400.28421149969455,11060169.692307996,30477350.086039346
7,1_10,RBD,1779.5157053545925,2222.463138795013,4611815.18682591,11626342.156638002
8,1_10,S,2340.415033760494,2469.4777599301133,10236582.468036974,15319211.943267407
9,1_10,S1,1285.6063770763706,1648.7098578417754,3736164.0945883193,11245419.032271974
10,1_10,S1 Trimer,329.9865277213161,1061.4369198227976,150045.0596662262,1415537.770552733
11,1_10,S2,5384.784174326914,5734.5317740638875,13771834.982877882,19695435.88219608
12,1_11,N,444.25005688110537,447.9743995375473,10642023.08103067,27280953.371189836
13,1_11,RBD,2540.6663424453773,2652.48597404183,12070646.724119926,24300445.5833456
14,1_11,S,3081.797554574005,3175.295393962925,13911599.761617627,25381348.515364844
15,1_11,S1,2019.352624836117,2147.3988074049985,13363261.456978654,25178299.348642588
16,1_11,S1 Trimer,901.3091119398177,950.630242846933,7301915.981198598,19675142.213860374
17,1_11,S2,5928.79295932433,6140.567752953779,17613982.281484004,28191960.799563892
18,1_12,N,733.5220185852309,741.791150733002,11501015.457946332,25714949.012692813
19,1_12,RBD,3770.9951004457016,4183.271162240102,10310506.45195508,21567185.47049297
20,1_12,S,4482.67751366947,4932.360190254881,13339952.625381067,23397645.085991096
21,1_12,S1,3502.884958500085,3756.458349792196,11470954.472137071,22638548.305971157
22,1_12,S1 Trimer,1537.0673837174525,1874.2682249409381,5292010.149723645,17121509.250353634
23,1_12,S2,6718.853796950639,6982.437774000989,18982310.237729046,27599285.273557425
24,1_13,N,209.67045709962355,259.85885987036005,935594.108279563,13745584.222963877
25,1_13,RBD,1089.90971769252,2335.3480631041234,1946600.9592184878,12573190.347109
26,1_13,S,423.9435847227575,3542.243669010855,394208.63904124487,14241189.840618804
27,1_13,S1,758.4203688911633,2423.8906737456814,1307966.636994834,13985915.87942024
28,1_13,S1 Trimer,318.17663601222324,755.3638370825455,145093.49283740783,3975021.8832903495
29,1_13,S2,3744.6334087988375,3893.6655686050153,11119708.409575054,24247506.82182974
30,1_14,N,366.1771477270566,384.15085742982995,6342142.56112421,15785476.96361919
31,1_14,RBD,2043.3631693170207,2799.478606977452,4235457.4918183945,12756733.874749672
32,1_14,S,2553.0145370121045,3468.970415251616,4787229.709988266,14641364.405809468
33,1_14,S1,2169.9882792898948,2441.0268210323343,6677667.459152618,13623789.88510069
34,1_14,S1 Trimer,376.568887420695,1271.5043930116112,146434.637131947,1532997.5715814754
35,1_14,S2,5178.428347621025,4909.132778980439,13419792.776631447,24541586.646778338
36,1_15,N,346.212422392637,350.1993522711974,8346922.772272033,18068378.28382265
37,1_15,RBD,2019.252193401606,2218.347510375659,7249377.538598963,16190519.281098578
38,1_15,S,2451.7564783254397,2656.3165898194447,8788857.939351672,17706730.518654767
39,1_15,S1,2015.4669682220836,2104.120346134822,10913601.555813465,17322431.347649023
40,1_15,S1 Trimer,527.2738634448286,905.3480673909456,1596077.424258347,8187154.313745746
41,1_15,S2,4181.443034753462,4479.263552046733,14023580.300824651,25736269.893407684
42,1_16,N,224.24502737817758,372.9263998829694,125044.9209394964,9800209.317165546
43,1_16,RBD,464.23891140934387,3565.1101065861717,121997.36462552528,3991831.74077059
44,1_16,S,463.9123715227837,4377.57568684939,115180.66383950747,3927677.6699026832
45,1_16,S1,474.4169812528645,3413.5973092219447,119037.38797120824,4050269.8566218233
46,1_16,S1 Trimer,328.70168067186927,1004.1453464098038,135211.3502449849,2206743.2223958033
47,1_16,S2,741.4890615481036,7411.544135499996,205187.58648644952,5078564.56533469
48,1_17,N,5.6455472515087495,5.673685875420181,104312.75648274962,1583288.372578057
49,1_17,RBD,7.12792101999356,7.341117361765462,118421.66426801283,787569.5389677056
50,1_17,S,7.3491845158244296,7.401399267676722,112790.7180797088,742633.1795456064
51,1_17,S1,7.155196239298305,7.284589536185918,114701.96259216801,713974.5519871578
52,1_17,S1 Trimer,8.569691090414652,8.679085796059821,135632.00192849737,835707.5327609291
53,1_17,S2,9.707619792927368,9.852741924447024,175537.69801727426,1221911.9680395124
54,1_18,N,7.914564296969027,7.930321034050738,2093149.3279887724,12862304.94254005
