FcgR,IgG1,IgG1f,IgG2,IgG2f,IgG3,IgG3f,IgG4,IgG4f
FcgRI,7.14E+07,7.14E+07,1.50E+06,1.50E+06,7.00E+07,7.00E+07,3.84E+07,3.84E+07
FcgRIIA-131H,5.31E+06,5.31E+06,4.31E+05,4.31E+05,9.13E+05,9.13E+05,1.81E+05,1.81E+05
FcgRIIA-131R,3.50E+06,3.50E+06,2.01E+05,2.01E+05,9.18E+05,9.18E+05,3.29E+05,3.29E+05
FcgRIIB-232I,2.55E+05,2.55E+05,6.91E+04,6.91E+04,3.16E+05,3.16E+05,1.31E+05,1.31E+05
FcgRIIIA-158V,2.01E+06,0.00E+00,1.68E+05,0.00E+00,9.94E+06,0.00E+00,2.91E+05,0.00E+00
FcgRIIIA-158F,1.20E+06,0.00E+00,3.64E+04,0.00E+00,7.74E+06,0.00E+00,1.54E+05,0.00E+00
FcgRIIIB,3.43E+05,3.43E+05,1.91E+04,1.91E+04,9.81E+05,9.81E+05,9.38E+03,9.38E+03
# Sourced from Tan et al., Cell Reports,2023,,,,,,
# All FcgRIIIA-fucosylated has been treated as nonbinding,,,,,,,,
